timestamp,original,statuscode,mimetype,length,domain,filetype
20221109230658,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?hss_channel=tw-1017844990804971520,200,text/html,17432,twincitiesstartupweek.com,pdf
20221109230644,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?utm_content=227500401&utm_medium=social&utm_source=twitter&hss_channel=tw-1017844990804971520,200,text/html,17456,twincitiesstartupweek.com,pdf
20221107210032,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?hss_channel=tw-2508348145,200,text/html,17470,twincitiesstartupweek.com,pdf
20221107210018,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?utm_campaign=TCSW%202022%20Content&utm_content=227350314&utm_medium=social&utm_source=twitter&hss_channel=tw-2508348145,200,text/html,17499,twincitiesstartupweek.com,pdf
20201104160035,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg,200,text/html,8628,twincitiesstartupweek.com,pdf
20201113055029,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?hss_channel=tw-1017844990804971520,200,text/html,6725,twincitiesstartupweek.com,pdf
20201113010034,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?utm_content=145669028&utm_medium=social&utm_source=twitter&hss_channel=tw-1017844990804971520,200,text/html,6751,twincitiesstartupweek.com,pdf
20201109173828,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?hss_channel=tw-2508348145,200,text/html,6860,twincitiesstartupweek.com,pdf
20201109173739,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?utm_campaign=TCSW%202020&utm_content=145541975&utm_medium=social&utm_source=twitter&hss_channel=tw-2508348145,200,text/html,6896,twincitiesstartupweek.com,pdf
20140725104402,http://twincitiesstartupweek.com:80/,200,text/html,6000,twincitiesstartupweek.com,jpg
20150215081945,http://twincitiesstartupweek.com/,200,text/html,2180,twincitiesstartupweek.com,jpg
20150218041200,http://twincitiesstartupweek.com:80/,200,text/html,2030,twincitiesstartupweek.com,jpg
20151218042715,http://twincitiesstartupweek.com/,200,text/html,4247,twincitiesstartupweek.com,jpg
20151230153608,http://twincitiesstartupweek.com:80/,200,text/html,4098,twincitiesstartupweek.com,jpg
20160111153708,http://twincitiesstartupweek.com/,200,text/html,4246,twincitiesstartupweek.com,jpg
